
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
Krokvatnet 241126 242857 Kråavvajaevrie
Heimvatnet 241123 242854 Båaktjasloebpele
Brattbekken 236893 238635 Dåeriesjohke
Reinøya 236824 745976 Sodtsååle
Litlfjelløya 236824 745976 Sodtsååle
Fuglleiktjønna 241520 243249 Golmesaesie
Jomafjellet 241606 243334 Jåavma
Auster-Vallervatnet 241585 243313 Luvlie-Vuallerejaevrie
Vester-Vallervatnet 241578 243306 Jillie-Vuallerejaevrie
Henrikvatnet 241536 243265 Guevtelejaevrie
Renselskardtjønnin 241532 243261 Tjaeksienjaevrieh
Grønklumpen 241515 243244 Tjuenjere
Beinvatna 241516 243245 Måarenjaevrieh
Tverrelva 241732 243459 Baajmenjohke
Luliefjellet 241512 243241 Luvlie-Sjeavrije
Svartberget 236660 238403 Luvlie-Balhkohke
Litlfjellet 236630 238373 Staelliennjuenie
Nesåflyan 236666 238409 Åarjel-Balhkohkejaevrie
Tunnsjøen 236558 238301 Dåtnejaevrie
Skorovassklumpen 236607 746658 Gierenetjåalhte
Stor-Gaiseren 236692 238434 Bijjie-Gaajsjaevrie
Siderssjøelva 241600 243328 Sijliesjohke
Siderssjøruet 241604 243332 Sjapme
Virmaneset 244359 246073 Johkegaske
Tjermavatna 241266 242996 Tjiermejaevrieh
Dergaklumpen 241177 242907 Jillie-Dearka
Vektaren 241201 242931 Vuaktere
Søluberget 2203590 338668 Svaalenjunie
Storvika 244396 1071757 Stoerre-loekte
Vestre_Sipmeken 244369 341564 Bijjie-Sipmehke
Sipmekentinden 244368 341595 Sipmehketjahke
Jetnamsklumpen 244343 400014 Jitnemensnuhkie
Store_Børgefjellet 244340 341547 Byrkije
Risbekken 244238 1071132 Slerke-johke
Borvatnet 241601 341499 Guertiesjaevrie
Middagsklumpen 241590 341495 Gierkere
Hudningsvatnet 241576 341491 Hutnegejaevrie
Saksvatnet 241199 242929 Saaksenjaevrie
Krutangen 241549 1071690 Buhtjeme-njuana
Fiskløystjønna 241548 341489 Guelehtsjaevrie
Storholmen 241389 1070726 Stoerre-sååle
Trollvika 241388 1070429 Staaloe-loeke
Rørvatnet 241383 338697 Raavrenjaevrie
Austergården 241378 1070734 Orre-vijhke
Trollviktangen 241375 1070428 Staaloe-njuaa
Gjersvikklumpen 241374 1070427 Guhkies-vaartoe
Ruet 241367 1071345 Båvne
Gjersviktjønna 241358 1070410 Sealman-tjonne
Husvikruet 241251 338670 Gåetbielesvaartoe
Hovden 241249 1070886 Vealma
Vektarklumpen 241247 1070885 Vuakteren-vaartoe
Saksvasselva 241200 338688 Saaksenjohke
Mannbeintjønna 241195 338687 Gaelmientjonne
Vektarruet 241169 1070966 Vuakteren-båvne
Saksvassruet 241165 1070946 Saaksen-båvne
Reinkrutjønna 241157 1070963 Giedtie-loebpele
Merkesbekken 241090 341512 Savjenjohke
Rypknulen 241089 341514 Saavjetjåalhte
Namsvatnet 241081 341513 Nååmesjenjaevrie
Mykkelvikdalen 241068 341455 Mohkelemehkie
Renselelva 241737 1071883 Raentserenjohke
Storelva 241734 338571 Guevtelejohke
Seterklumpen 241733 341479 Tjaeksie
Rørviktangen 241730 1070352 Stoerre-njuana
Storflya 244251 245967 Stoerresovvene
Storflya 244251 400030 Guhkiessovvene
Renselvatnet 241543 341487 Raentsere
Lybekkdalen 241561 341490 Leemtsenvuemie
Lybekkdalen 241561 1071890 Våelleren-vuemie
Midtiklumpen 241542 341486 Bielnie
Raudfjellet 241531 341482 Røøpse
Nursfjellet 241529 341477 Noeresfiellie
Halvvegestangen 241337 1070809 Stoerre-njuana
Orvatnet 241589 243317 Ovrejaevrie
Orklumpen 241584 341493 Ovrevaartoe
Litlelvvatnet 241539 243268 Giedtietjonne
Halvmiltangen 241337 1070809 Stoerre-njuana
Orelva 244384 246098 Ovrejohke
Stormyrfjellet 241553 243281 Guelehtstjahke
Seterfjellet 241725 243452 Gåasavaartoe
Jetnamsfjellet 244412 246125 Jitneme
Vestre_Rekarvatnet 244239 245955 Jillie-Raajhkere
Midtivatnet 241094 755669 Gaskejaevrie
Sørvatnet 244283 245999 Åarjeljaevrie
Rekarvasselva 244264 245980 Raajhkerenjohke
Kariflyen 244278 245994 Kaajjensovvene
Gisen 244277 745646 Jijse
Langflyen 244253 245969 Jarpesovvene
Langflyen 244253 400013 Gaskesovvene
Karielva 244254 245970 Kaajjenjohke
Austre_Rekarvatnet 244240 245956 Luvlie-Raajhkere
Karivatnan 244235 245951 Kaajjenjaevrie
Snotjelbakken 244217 245933 Snohtjele
Kløvfjellet 244215 245931 Tjoele
Blyvatnet 244165 400010 Gaskejaevrie
Getsvatnet 244398 246112 Gaajhtjaevrie
Orvasselva 244384 246098 Ovrejohke
Jassånilstjønnin 244381 246095 Jassehkentjonneh
Storøya 244395 246109 Stoerresååle
Austre_Sipmeksjøen 244394 246108 Vuelie-Sipmehke
Orvassdalen 244385 246099 Ovrevuemie
Lotterelva 244386 246100 Lohterenjohke
Matbekken 244375 246089 Buvriejohke
Litlfjellet 244467 745855 Laakesvaartoe
Storelva 244470 246181 Stoerrejohke
Djupvassflyen 244358 246072 Sovvene
Lotterfjellet 244361 755702 Lohtere
Virmaelva 244348 246062 Viermejohke
Djupvatnet 244219 245935 Bajhkejaevrie
