lemma	mg_index	pos_hint	nob_ts	swe_placeholders
jienebelåhkoe	1	N	flertall	flertall_SWE
jiermehtsvoete	1	N	uforstand; vettløshet	uforstand_SWE
jiermie	1	N	forstand	forstand_SWE
jijhteme	1	N	soloppgang	soloppgang_SWE
jijhteme	2	Phrase	det å komme fram	det å komme fram_SWE
jijmuve	1	Phrase	tantebarn til filletante; filletante sitt tantebarn	tantebarn til filletante_SWE
jijtjesoerme	1	N	langfinger	langfinger_SWE
jissie	1	Phrase	kjøttsiden på skinn	kjøttsiden på skinn_SWE
joejkeme	1	N	joiking	joiking_SWE
joene	1	N	vei	vei_SWE
joevje	1	A	lysgrå	lysgrå_SWE
johkenjuana	1	Phrase	nes mellom to sammenflytende elver	elvenes_SWE
johtelohke	1	N	flytting	flytting_SWE
jokse	1	Phrase	tåstropp på skibinding	tåstropp på skibinding_SWE
joksege	1	N	skibinding	skibinding_SWE
jollejuelkie	1	N	elg	elg_SWE
jovje	1	Phrase	lysgrå rein mellom klovse og boevje	lysgrå rein_SWE
jovvehtahke	1	N	bukgjord	bukgjord_SWE
juakadimmie	1	N	atskillelse	atskillelse_SWE
juelkiebielie	1	Phrase	hull i reinskinn etter framføttene	hull i reinskinn etter framføttene_SWE
juelkiegåålese	1	Phrase	reim til å knytte kløvkorga fast med	reim til å knytte kløvkorga fast med_SWE
juelkienåårese	1	Phrase	bakreim på skibinding eller kløv	bakreim_SWE
juvde	1	N	jøde	jøde_SWE
juvvie	1	N	belte	belte_SWE
jyjse	1	N	frostrim	frostrim_SWE
jyjsege	1	N	rim	rim_SWE
jyjseldahke	1	N	frostrim	frostrim_SWE
jyjseme	1	N	rim	rim_SWE
jyöne	1	N	morbror; mors fetter	morbror_SWE
jyövje	1	Phrase	lysgrå rein mellom klovse og boevje	lysgrå rein_SWE
jåama	1	N	syregress	syregress_SWE
jåarhke	1	N	fortsettelse	fortsettelse_SWE
jåarta	1	N	jord; jordeiendom	jord_SWE
jåhtaldahke	1	N	flytteveg	flytteveg_SWE
jåvlejïjje	1	N	julenatt	julenatt_SWE
jååhkesjimmie	1	N	anerkjennelse; bekreftelse	anerkjennelse_SWE
jælla	1	Phrase	flat åpen dal	flat åpen dal_SWE
jæssoe	1	N	tykkelse	tykkelse_SWE
jïehtse	1	N	larm; bulder	larm_SWE
jïele	1	N	trekk	trekk_SWE
jïelege	1	N	reinflokk	reinflokk_SWE
jïeneme	1	N	jordbru	jordbru_SWE
jïhpe	1	N	hubro	hubro_SWE
jïjjegåårtse	1	Phrase	svarteste natta	svarteste natta_SWE
jïjse	1	N	snøugle	snøugle_SWE
jïjse	2	Phrase	hvit som rim	hvit som rim_SWE
jïjsengoelke	1	Phrase	rein med mørkt hårlag og lyse hårspisser	rein med mørkt hårlag og lyse hårspisser_SWE
jïjtjereereme	1	N	selvstyre; suverenitet	selvstyre_SWE
jyönetje	1	Phrase	morbror- og søsterbarn	morbror- og søsterbarn_SWE
juemmie	1	N	tvilling	tvilling_SWE
kaalhke	1	N	kalk	kalk_SWE
klaapsaspaarra	1	N	skinnspile; vanlig horisontal spile til skinn	skinnspile_SWE
klaasa	1	N	elveholme	elveholme_SWE
klaase	1	N	vindu	vindu_SWE
klaase	2	N	glass	glass_SWE
klaasse	1	N	klasse	klasse_SWE
klaejpie	1	N	pass	pass_SWE
klaerie	1	N	farge; kulør	farge_SWE
klijvie	1	Phrase	melk blandet med vann	melk blandet med vann_SWE
klodtje	1	N	åpning; glugge	åpning_SWE
klovpe	1	Phrase	en som er snøblind	en som er snøblind_SWE
klovse	1	Phrase	helt hvit rein; albinorein	helt hvit rein_SWE
kluhtere	1	N	kreatur; husdyr	kreatur_SWE
klåbpoe	1	N	stokk; kubbe	stokk_SWE
bigkemeklåbpoe	1	N	byggekloss	byggekloss_SWE
konsulente	1	N	konsulent	konsulent_SWE
konteejnere	1	N	konteiner	konteiner_SWE
kontovre	1	N	kontor	kontor_SWE
kontovrebarkoe	1	N	kontorarbeid	kontorarbeid_SWE
kraaje	1	Phrase	lyden av reinhjord som kommer	lyden av reinhjord som kommer_SWE
kraana	1	N	grene; åkle	grene_SWE
kraanoe	1	N	grene; åkle	grene_SWE
kraanna	1	N	nabo; granne	nabo_SWE
kraase	1	N	piperenser; bøsserenser	piperenser_SWE
kraasetje	1	Phrase	litt gress; lite gresstrå	litt gress_SWE
kraavhtse	1	N	grøt	grøt_SWE
kraejhpie	1	Phrase	landskap med berg og ur	landskap med berg og ur_SWE
kraesie	1	N	gress	gress_SWE
kraesienjålhtja	1	N	gresshoppe	gresshoppe_SWE
kraeviesjovje	1	Phrase	gråhvit rein	gråhvit rein_SWE
kreadta	1	Phrase	kaffetilsetning av fløte, ost eller kjøtt	kaffetilsetning_SWE
kreavve	1	N	rein; reinflokk	rein_SWE
kreeke	1	N	dyr	dyr_SWE
kreeke	2	N	krekling	krekling_SWE
krievnie	1	N	velling; suppe	velling_SWE
krievvie	1	Phrase	samlet reinhjord	samlet reinhjord_SWE
krijhte	1	N	kritt	kritt_SWE
krijke	1	N	krekling; kråkebær	krekling_SWE
krirrie	1	Phrase	forsamling av mennesker	forsamling av mennesker_SWE
krist´aehtjie	1	N	gudfar	gudfar_SWE
krist´ietnie	1	N	gudmor	gudmor_SWE
krodth	1	N	gift; toksin	gift_SWE
kroehkemasjijne	1	N	gravemaskin	gravemaskin_SWE
kroenesaate	1	N	grønnsak	grønnsak_SWE
kroenesaate	2	N	plen; lite gressbevokst område i fjellet	plen_SWE
kroepte	1	N	grav	grav_SWE
kroesse	1	N	kors	kors_SWE
krovhte	1	N	gryte	gryte_SWE
kroenesaath	1	N	grønnsaker	grønnsaker_SWE
kruehkie	1	N	hekte	hekte_SWE
kruepieslaejpie	1	N	grovbrød	grovbrød_SWE
kråahpe	1	N	kropp	kropp_SWE
kråane	1	N	krok; hjørne	krok_SWE
