altasasse	dïhte+Pron+Pers+Sg+Ill+PxSg3
jeatjine	jeatjh+Pron+Indef+Ess
jeatjine	jeatjh+Pron+Indef+Pl+Ine
jeatjine	jeatjh+Pron+Indef+Sg+Com
jeatjine	jeatja+Pron+Indef+Ess
jeatjine	jeatja+Pron+Indef+Pl+Ine
jeatjine	jeatja+Pron+Indef+Sg+Com

jeatjine	jeatjh+Pron+Indef+Ess
jeatjine	jeatjh+Pron+Indef+Pl+Ine
jeatjine	jeatjh+Pron+Indef+Sg+Com
jeatjine	jeatja+Pron+Indef+Ess
jeatjine	jeatja+Pron+Indef+Pl+Ine
jeatjine	jeatja+Pron+Indef+Sg+Com

jeatjine	jeatjh+Pron+Indef+Ess
jeatjine	jeatjh+Pron+Indef+Pl+Ine
jeatjine	jeatjh+Pron+Indef+Sg+Com
jeatjine	jeatja+Pron+Indef+Ess
jeatjine	jeatja+Pron+Indef+Pl+Ine
jeatjine	jeatja+Pron+Indef+Sg+Com

jeene	jeene+A+Sg+Nom
jeene	jeene+A+Attr
jeene	jeene+Pron+Indef+Sg+Nom

jeene	jeene+A+Sg+Nom
jeene	jeene+A+Attr
jeene	jeene+Pron+Indef+Sg+Nom

jeene	jeene+A+Sg+Nom
jeene	jeene+A+Attr
jeene	jeene+Pron+Indef+Sg+Nom

jeene	jeene+A+Sg+Nom
jeene	jeene+A+Attr
jeene	jeene+Pron+Indef+Sg+Nom

jeenem	jeene+A+Sg+Acc
jeenem	jeene+Pron+Indef+Sg+Acc

jeenem	jeene+A+Sg+Acc
jeenem	jeene+Pron+Indef+Sg+Acc

jeenen	jeene+A+Sg+Gen
jeenen	jeene+Pron+Indef+Sg+Gen
jeenen	jeene+Pron+Indef+Sg+Ill+Attr

jeenen	jeene+A+Sg+Gen
jeenen	jeene+Pron+Indef+Sg+Gen
jeenen	jeene+Pron+Indef+Sg+Ill+Attr

jeenene	jeene+A+Sg+Gen+PxSg1
jeenene	jeene+Pron+Indef+Sg+Ine+Attr

jeenese	jeene+A+Sg+Ill
jeenese	jeene+A+Sg+Nom+PxSg3
jeenese	jeene+Pron+Indef+Sg+Ill

jeenese	jeene+A+Sg+Ill
jeenese	jeene+A+Sg+Nom+PxSg3
jeenese	jeene+Pron+Indef+Sg+Ill

jeenesne	jeene+A+Sg+Ine
jeenesne	jeene+Pron+Indef+Sg+Ine

jeenesne	jeene+A+Sg+Ine
jeenesne	jeene+Pron+Indef+Sg+Ine

jeeneste	jeene+A+Sg+Ela
