lyjre	lyjre+N+Sg+Nom

luhkiestoeretjuetie	luhkiestoeretjuetie+Num+Sg+Nom

juelkiestehkie	juelkie+N+Cmp/SgNom+Cmp#stehkie+N+Sg+Nom
juelkiestehkie	juelkiestehkie+N+Sg+Nom

joejtehtidh	joejtehtidh+V+TV+Inf
joejtehtidh	joejtehtidh+V+TV+Ind+Prt+Pl2

jiermege	jiermege+A+Sg+Nom
jiermege	jiermege+A+Attr
jiermege	jïermege+N+Sg+Nom
jiermege	jïermegs+A+Sg+Nom

jemhkieldidh	jemhkieldidh+V+IV+Inf

hïehkede	hïehkede+Adv

gåpmahtasse	gåpmahtasse+N+Sg+Nom

earoeladtje	earoeladtje+A+Sg+Nom
earoeladtje	earoeladtje+A+Attr
earoeladtje	earoeladtje+N+Sg+Nom

aarjoehtidh	aarjoehtidh+V+TV+Inf
aarjoehtidh	aarjoehtidh+V+TV+Ind+Prt+Pl2

vïjhteluhkie	vïjhteluhkie+Num+Sg+Nom

voejngenasse	voejngenasse+N+Sg+Nom

vaeptie#foeve	vaeptie#foeve	+?

tjeakolde	tjeakolde+Adv

snurkie	snurkie+N+Sg+Nom

slïedte#maana	slïedte#maana	+?

mearoe#gaedtie	mearoe#gaedtie	+?

lååjkehke	lååjkehke+N+Sg+Nom
lååjkehke	lååjkehks+A+Sg+Nom

jiermehts	jiermie+N+Der/Car+A+Attr
jiermehts	jiermie+N+Der/Car+A+Sg+Nom
jiermehts	jiermehts+A+Attr
jiermehts	jiermehts+A+Sg+Nom

jiermegs	jiermegs+A+Attr
jiermegs	jiermegs+A+Sg+Nom
jiermegs	jïermegs+A+Attr

gaajhkelaaketje	gaajhkelaaketje+A+Sg+Nom
gaajhkelaaketje	gaajhkelaaketje+A+Attr

buerie#sjugniedovvedh	buerie#sjugniedovvedh	+?

beala	beala+N+Sg+Nom

balve-#tjolhtere	balve-#tjolhtere	+?

aereden	aerede+N+Sg+Gen
aereden	aeredh+V+TV+Imprt+Du2
aereden	aeredh+V+TV+Ind+Prs+Du2
aereden	aereden+Adv

aavenaaktje	aavenaaktje+A+Sg+Nom
aavenaaktje	aavenaaktje+A+Attr

åajvoe	åajvoe+N+Sg+Nom
åajvoe	åajvoeh+A+Sg+Nom

vierhtse	vierhtse+N+Sg+Nom
vierhtse	vïerhtse+N+Sg+Nom

verries	verries+A+Sg+Nom
verries	verries+A+Attr

veajhta	veajhta+N+Sg+Nom

urriesvuanhtsa	urriesvuanhtsa+N+Sg+Nom
urriesvuanhtsa	urries+A+Cmp/Attr+Cmp#vuanhtsa+N+Sg+Nom

uktsieluhkieuktsie	uktsieluhkieuktsie+Num+Sg+Nom

tsegkietnie	tsegkietnie+N+Sg+Nom

tsaepmiestidh	tsaepmedh+V+TV+Der/st+V+Inf
tsaepmiestidh	tsaepmedh+V+TV+Der/st+V+Ind+Prt+Pl2
tsaepmiestidh	tsaepmiestidh+V+TV+Inf
tsaepmiestidh	tsaepmiestidh+V+TV+Ind+Prt+Pl2

tjoevkedidh	tjoevkedh+V+TV+Der/d+V+Inf
tjoevkedidh	tjoevkedh+V+TV+Der/d+V+Ind+Prt+Pl2
tjoevkedidh	tjoevkedidh+V+TV+Inf
tjoevkedidh	tjoevkedidh+V+TV+Ind+Prt+Pl2

tjievliedidh	tjievliedidh+V+IV+Inf
tjievliedidh	tjievliedidh+V+IV+Ind+Prt+Pl2

tjeakoesvoete	tjeakoes+v1+A+Cmp/SgNom+Cmp#voete+N+Sg+Nom
tjeakoesvoete	tjeakoes+v1+A+Cmp/Attr+Cmp#voete+N+Sg+Nom
tjeakoesvoete	tjeakoes+v1+A+Attr+Der/vuota+N+Err/Orth+Sg+Nom
tjeakoesvoete	tjeakoes+v1+A+Attr+Der/vuota+N+Sg+Nom
tjeakoesvoete	tjeakoesvoete+N+Sg+Nom

